high,low,open,source,symbol,timestamp,value,volume,percent_change
200.05,194.6796,197.72,alpha_vantage,AAPL,2025-05-08T00:00:00+00:00,197.49,50478872,
200.5399,197.535,199.0,alpha_vantage,AAPL,2025-05-09T00:00:00+00:00,198.53,36453923,0.005266089422249187
211.2679,206.75,210.97,alpha_vantage,AAPL,2025-05-12T00:00:00+00:00,210.79,63775814,0.06175389109958188
213.4,209.0,210.43,alpha_vantage,AAPL,2025-05-13T00:00:00+00:00,212.93,51909332,0.010152284263959461
213.94,210.5801,212.43,alpha_vantage,AAPL,2025-05-14T00:00:00+00:00,212.33,49325825,-0.0028178274550321432
212.96,209.54,210.95,alpha_vantage,AAPL,2025-05-15T00:00:00+00:00,211.45,45029473,-0.004144492064239739
212.57,209.77,212.36,alpha_vantage,AAPL,2025-05-16T00:00:00+00:00,211.26,54737850,-0.0008985575786237774
209.48,204.26,207.91,alpha_vantage,AAPL,2025-05-19T00:00:00+00:00,208.78,46140527,-0.011739089273880478
208.47,205.03,207.67,alpha_vantage,AAPL,2025-05-20T00:00:00+00:00,206.86,42496635,-0.00919628316888585
207.04,200.71,205.17,alpha_vantage,AAPL,2025-05-21T00:00:00+00:00,202.09,59211774,-0.023059073769699363
202.75,199.7,200.71,alpha_vantage,AAPL,2025-05-22T00:00:00+00:00,201.36,46742407,-0.0036122519669453696
197.7,193.46,193.665,alpha_vantage,AAPL,2025-05-23T00:00:00+00:00,195.27,78432918,-0.030244338498212172
200.74,197.43,198.3,alpha_vantage,AAPL,2025-05-27T00:00:00+00:00,200.21,56288475,0.025298304911148654
202.73,199.9,200.59,alpha_vantage,AAPL,2025-05-28T00:00:00+00:00,200.42,45339678,0.0010488986564106664
203.81,198.51,203.575,alpha_vantage,AAPL,2025-05-29T00:00:00+00:00,199.95,51477938,-0.0023450753417822517
201.96,196.78,199.37,alpha_vantage,AAPL,2025-05-30T00:00:00+00:00,200.85,70819942,0.004501125281320358
202.13,200.12,200.28,alpha_vantage,AAPL,2025-06-02T00:00:00+00:00,201.7,35423294,0.004232013940751777
203.77,200.955,201.35,alpha_vantage,AAPL,2025-06-03T00:00:00+00:00,203.27,46381567,0.007783837382250975
206.24,202.1,202.91,alpha_vantage,AAPL,2025-06-04T00:00:00+00:00,202.82,43603985,-0.0022138042996999903
204.75,200.15,203.5,alpha_vantage,AAPL,2025-06-05T00:00:00+00:00,200.63,55221235,-0.010797751701015669
205.7,202.05,203.0,alpha_vantage,AAPL,2025-06-06T00:00:00+00:00,203.92,46607693,0.016398345212580333
206.0,200.02,204.39,alpha_vantage,AAPL,2025-06-09T00:00:00+00:00,201.45,72862557,-0.01211259317379364
204.35,200.57,200.6,alpha_vantage,AAPL,2025-06-10T00:00:00+00:00,202.67,54672608,0.006056093323405306
204.5,198.41,203.5,alpha_vantage,AAPL,2025-06-11T00:00:00+00:00,198.78,60989857,-0.019193763260472622
199.68,197.3601,199.08,alpha_vantage,AAPL,2025-06-12T00:00:00+00:00,199.2,43904635,0.002112888620585509
200.37,195.7,199.73,alpha_vantage,AAPL,2025-06-13T00:00:00+00:00,196.45,51447349,-0.013805220883534136
198.685,196.5636,197.3,alpha_vantage,AAPL,2025-06-16T00:00:00+00:00,198.42,43020691,0.010027996945787727
198.39,195.21,197.2,alpha_vantage,AAPL,2025-06-17T00:00:00+00:00,195.64,38856152,-0.014010684406813835
197.57,195.07,195.94,alpha_vantage,AAPL,2025-06-18T00:00:00+00:00,196.58,45394689,0.004804743406256523
